127.0.0.1, 2014-07-16 22:03:00, GET, /ForCA/disc/list, HTTP/1.1, 200, 3.282564
127.0.0.1, 2014-07-16 22:03:04, GET, /ForCA/eval/filter, HTTP/1.1, 200, 3.142416
127.0.0.1, 2014-07-16 22:03:10, GET, /ForCA/default/index, HTTP/1.1, 303, 2.442242
127.0.0.1, 2014-07-16 22:03:12, GET, /ForCA/default/home, HTTP/1.1, 200, 2.374712
127.0.0.1, 2014-07-16 22:03:16, GET, /ForCA/default/user/register, HTTP/1.1, 200, 2.537463
127.0.0.1, 2014-07-16 22:03:51, POST, /ForCA/default/user/register, HTTP/1.1, 200, 7.887012
127.0.0.1, 2014-07-16 22:06:29, GET, /, HTTP/1.1, 303, 2.436254
127.0.0.1, 2014-07-16 22:06:31, GET, /, HTTP/1.1, 303, 4.403464
127.0.0.1, 2014-07-16 22:06:33, GET, /ForCA/default/home, HTTP/1.1, 200, 2.377782
127.0.0.1, 2014-07-16 22:06:38, GET, /ForCA/default/user/register, HTTP/1.1, 200, 2.377564
127.0.0.1, 2014-07-16 22:07:07, POST, /ForCA/default/user/register, HTTP/1.1, 303, 4.878683
127.0.0.1, 2014-07-16 22:07:09, GET, /ForCA/default/user/login, HTTP/1.1, 200, 2.511850
127.0.0.1, 2014-07-16 22:07:29, GET, /ForCA/default/user/verify_email/e98d1e3a-f05a-4706-9c6b-d6fc54ae8186, HTTP/1.1, 303, 4.286230
127.0.0.1, 2014-07-16 22:07:31, GET, /ForCA/default/user/login, HTTP/1.1, 200, 2.411590
127.0.0.1, 2014-07-16 22:07:47, POST, /ForCA/default/user/login, HTTP/1.1, 303, 2.879431
127.0.0.1, 2014-07-16 22:07:49, GET, /ForCA/default/index, HTTP/1.1, 303, 2.237041
127.0.0.1, 2014-07-16 22:07:52, GET, /ForCA/profile/home, HTTP/1.1, 303, 3.203644
127.0.0.1, 2014-07-16 22:07:55, GET, /ForCA/prof/home, HTTP/1.1, 500, 2.971428
127.0.0.1, 2014-07-16 22:07:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000835
127.0.0.1, 2014-07-16 22:09:39, GET, /admin/default/ticket/ForCA/127.0.0.1.2014-07-16.22-07-52.2dd8efbb-8b5c-4e9b-bce1-0f174c687269, HTTP/1.1, 200, 0.082918
127.0.0.1, 2014-07-16 22:09:39, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000567
127.0.0.1, 2014-07-16 22:09:39, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000961
127.0.0.1, 2014-07-16 22:09:39, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000506
127.0.0.1, 2014-07-16 22:09:39, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000403
127.0.0.1, 2014-07-16 22:09:39, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000675
127.0.0.1, 2014-07-16 22:09:39, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.000890
127.0.0.1, 2014-07-16 22:09:39, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.000418
127.0.0.1, 2014-07-16 22:09:39, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.000554
127.0.0.1, 2014-07-16 22:09:39, GET, /admin/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000470
127.0.0.1, 2014-07-16 22:09:39, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000350
127.0.0.1, 2014-07-16 22:09:39, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 304, 0.000541
127.0.0.1, 2014-07-16 22:09:39, GET, /admin/static/images/header_bg.png, HTTP/1.1, 304, 0.000448
127.0.0.1, 2014-07-16 22:09:39, GET, /admin/static/images/start.png, HTTP/1.1, 304, 0.000494
127.0.0.1, 2014-07-16 22:09:39, GET, /admin/static/images/menu.png, HTTP/1.1, 304, 0.000353
127.0.0.1, 2014-07-16 22:09:39, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 304, 0.000542
127.0.0.1, 2014-07-16 22:09:39, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 304, 0.000435
127.0.0.1, 2014-07-16 22:09:39, GET, /admin/static/images/small_button.png, HTTP/1.1, 304, 0.000414
127.0.0.1, 2014-07-16 22:09:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000365
127.0.0.1, 2014-07-16 22:11:18, GET, /, HTTP/1.1, 303, 2.353437
127.0.0.1, 2014-07-16 22:11:21, GET, /, HTTP/1.1, 303, 4.359437
127.0.0.1, 2014-07-16 22:11:23, GET, /ForCA/profile/home, HTTP/1.1, 303, 2.924040
127.0.0.1, 2014-07-16 22:11:26, GET, /ForCA/prof/home, HTTP/1.1, 500, 2.956496
127.0.0.1, 2014-07-16 22:11:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000314
127.0.0.1, 2014-07-16 22:11:29, GET, /admin/default/ticket/ForCA/127.0.0.1.2014-07-16.22-11-23.f8eb8b01-3bad-4bea-ba79-65f0ede035f9, HTTP/1.1, 200, 0.085048
127.0.0.1, 2014-07-16 22:11:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000294
127.0.0.1, 2014-07-16 22:11:34, GET, /admin/default/edit/ForCA/controllers/prof.py, HTTP/1.1, 200, 0.035754
